0.30;0.90;15.62;0.0052
0.30;0.95;15.58;0.0048
0.30;1.00;16.08;0.0049
0.30;1.05;16.50;0.0046
0.30;1.10;15.42;0.0054
0.30;1.15;15.60;0.0050
0.30;1.20;16.66;0.0049
0.30;1.25;16.24;0.0046
0.30;1.30;16.64;0.0052
0.30;1.35;16.22;0.0044
0.30;1.40;17.50;0.0048
0.30;1.45;16.70;0.0048
0.30;1.50;17.46;0.0044
0.30;1.55;17.84;0.0038
0.30;1.60;18.72;0.0043
0.30;1.65;17.82;0.0048
0.30;1.70;18.74;0.0041
0.30;1.75;18.76;0.0037
0.30;1.80;18.62;0.0042
0.30;1.85;18.80;0.0041
0.30;1.90;17.70;0.0032
0.30;1.95;18.88;0.0041
0.35;0.05;19.58;0.0045
0.35;0.10;16.54;0.0041
0.35;0.15;18.08;0.0035
0.35;0.20;19.28;0.0043
0.35;0.25;17.22;0.0044
0.35;0.30;17.44;0.0037
0.35;0.35;17.74;0.0044
0.35;0.40;17.82;0.0041
0.35;0.45;17.56;0.0050
0.35;0.50;17.70;0.0048
0.35;0.55;16.56;0.0045
0.35;0.60;16.88;0.0047
0.35;0.65;16.44;0.0047
0.35;0.70;16.66;0.0047
0.35;0.75;16.80;0.0046
0.35;0.80;16.60;0.0050
0.35;0.85;16.48;0.0049
0.35;0.90;15.92;0.0043
0.35;0.95;16.20;0.0046
0.35;1.00;15.78;0.0049
0.35;1.05;15.96;0.0043
0.35;1.10;16.38;0.0044
0.35;1.15;16.20;0.0049
0.35;1.20;16.56;0.0045
0.35;1.25;16.90;0.0044
0.35;1.30;17.20;0.0046
0.35;1.35;17.40;0.0045
0.35;1.40;16.46;0.0048
0.35;1.45;17.16;0.0043
0.35;1.50;17.42;0.0049
0.35;1.55;17.32;0.0046
0.35;1.60;17.36;0.0045
0.35;1.65;16.96;0.0041
0.35;1.70;17.78;0.0044
0.35;1.75;17.72;0.0046
0.35;1.80;18.76;0.0050
0.35;1.85;18.16;0.0049
0.35;1.90;17.32;0.0042
0.35;1.95;17.92;0.0047
0.40;0.05;16.58;0.0043
0.40;0.10;17.82;0.0042
0.40;0.15;17.26;0.0046
0.40;0.20;17.88;0.0047
0.40;0.25;16.84;0.0056
0.40;0.30;16.98;0.0041
0.40;0.35;17.02;0.0042
0.40;0.40;16.84;0.0043
0.40;0.45;17.12;0.0046
0.40;0.50;17.18;0.0047
0.40;0.55;17.24;0.0047
0.40;0.60;17.02;0.0047
0.40;0.65;16.84;0.0050
0.40;0.70;17.54;0.0046
0.40;0.75;16.38;0.0049
0.40;0.80;16.56;0.0044
0.40;0.85;15.98;0.0048
0.40;0.90;16.38;0.0048
0.40;0.95;16.10;0.0047
0.40;1.00;16.34;0.0046
0.40;1.05;16.66;0.0044
0.40;1.10;16.48;0.0045
0.40;1.15;16.08;0.0045
0.40;1.20;16.70;0.0051
0.40;1.25;16.58;0.0045
0.40;1.30;17.22;0.0043
0.40;1.35;17.00;0.0044
